code,database,name,type,unit,cat_1,Exiobase name,Exiobase unit,Exiobase compartment
5b7d620e-2238-5ec9-888a-6999218b6974,biosphere3,"1,3-Dioxolan-2-one",emission,kilogram,water,,,
09db39be-d9a6-4fc3-8d25-1f80b23e9131,biosphere3,"1,4-Butanediol",emission,kilogram,air,,,
d835b7aa-288b-4b3a-966b-3f64f36ed220,biosphere3,"1,4-Butanediol",emission,kilogram,water,,,
070dc6b3-0976-45a0-803e-0a87d7e96959,biosphere3,1-Pentanol,emission,kilogram,water,,,
048baf1e-6cdc-44a5-92e2-32d15ff54885,biosphere3,1-Pentanol,emission,kilogram,air,,,
651cbfbb-3027-4e20-a5b0-4a67e86e837a,biosphere3,1-Pentene,emission,kilogram,air,,,
109c3ee9-b9df-4c11-bd77-b8571773d9ad,biosphere3,1-Pentene,emission,kilogram,water,,,
5e98fd60-8da0-4006-9729-4d2797f96302,biosphere3,"2,2,4-Trimethyl pentane",emission,kilogram,air,,,
e3d35475-3f5c-5099-9506-8cc81a188fb1,biosphere3,"2,4-di-tert-butylphenol",emission,kilogram,water,,,
3e07d825-a98e-4cdc-afa3-610fa7739261,biosphere3,2-Aminopropanol,emission,kilogram,air,,,
ea6f1100-7fe4-4f66-92cc-a69fe2dcca77,biosphere3,2-Aminopropanol,emission,kilogram,water,,,
2b8204fa-c9bf-5465-9aa2-d79024a19b1a,biosphere3,2-chlorobenzaldehyde,emission,kilogram,water,,,
059e6a26-7035-4621-a360-c71c5778eec8,biosphere3,2-Methyl pentane,emission,kilogram,air,,,
446e7a93-6ac4-4bdf-b97d-03f683c7488c,biosphere3,2-Methyl-1-propanol,emission,kilogram,water,,,
47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d,biosphere3,2-Methyl-1-propanol,emission,kilogram,air,,,
23868338-42bc-4baf-a9e2-8e84ff8c92f1,biosphere3,2-Methyl-2-butene,emission,kilogram,water,,,
4e44630f-4197-4f05-809f-0fef07fba7d3,biosphere3,2-Methyl-2-butene,emission,kilogram,air,,,
98d3f159-b420-4e43-aab5-4fd093b82429,biosphere3,2-Nitrobenzoic acid,emission,kilogram,air,,,
e92a1310-603c-4346-85b8-e4e3192cd75c,biosphere3,2-Propanol,emission,kilogram,water,,,
479edec6-763c-49fc-83f8-49780f08cf29,biosphere3,2-Propanol,emission,kilogram,air,,,
1eefb686-03de-4dc8-933a-e3b7459438da,biosphere3,3-Methyl-1-butanol,emission,kilogram,air,,,
8114f79d-41eb-42f2-99d8-159db57d3bcb,biosphere3,3-Methyl-1-butanol,emission,kilogram,water,,,
56e7c4ee-29a0-4d90-a44d-ee7e7faade83,biosphere3,4-Methyl-2-pentanol,emission,kilogram,water,,,
f9d36529-abde-4ed2-a82c-d365ae2c713f,biosphere3,4-Methyl-2-pentanone,emission,kilogram,water,,,
53214ef0-3cc1-4166-920b-08ca46f7c457,biosphere3,4-Methyl-2-pentanone,emission,kilogram,air,,,
8732d8b5-7f41-498c-be37-5bcd7a802ee6,biosphere3,Acenaphthene,emission,kilogram,water,,,
1f4afa32-a9a2-40da-8396-104452cb637f,biosphere3,Acenaphthene,emission,kilogram,air,,,
7c02a013-712f-4588-bfd8-247078e0f4d8,biosphere3,Acenaphthylene,emission,kilogram,water,,,
e0346157-1f0e-4bf9-b234-78fead761e18,biosphere3,Acenaphthylene,emission,kilogram,air,,,
e3e8f6a2-c45e-4685-9859-698b2eadaf5b,biosphere3,Acetaldehyde,emission,kilogram,air,,,
4b51a9d0-4100-49c1-8d47-ec47eb51c58a,biosphere3,Acetaldehyde,emission,kilogram,water,,,
3cea246d-706f-4280-ac52-3c7590e8fa7f,biosphere3,Acetic acid,emission,kilogram,water,,,
d157416d-db9b-4f88-a7f3-a9a5f1ea88f2,biosphere3,Acetic acid,emission,kilogram,air,,,
d4f209e8-335f-4a2f-9384-77a23fbc7dee,biosphere3,"Acetic acid, trifluoro-",emission,kilogram,air,,,
d78a3d22-4bed-4ad3-8a9c-1cc4645188d0,biosphere3,Acetone,emission,kilogram,water,,,
f3d5fd96-8805-4d3d-867a-5df27975b07f,biosphere3,Acetone,emission,kilogram,air,,,
ff45a199-18e0-4777-886b-e2d0422d2f82,biosphere3,Acetonitrile,emission,kilogram,air,,,
cbaca555-e09c-4dc6-bdc3-60e6f8a784f9,biosphere3,Acetonitrile,emission,kilogram,water,,,
65bafee0-9f42-4788-af33-4df48d0e7f65,biosphere3,Acetyl chloride,emission,kilogram,water,,,
b37294bd-947d-4f35-b9e6-3eb259c05ff5,biosphere3,"Acidity, unspecified",emission,kilogram,water,,,
d896ced7-a107-4017-b284-d95a8ef3e735,biosphere3,Acrolein,emission,kilogram,air,,,
37f69770-85d0-4af3-a612-41e9d314f5bb,biosphere3,"Acrylate, ion",emission,kilogram,water,,,
faca26d7-b953-4dd6-94a9-7b8975452e1c,biosphere3,Acrylic acid,emission,kilogram,air,,,
981ea86a-b527-4e29-b092-f16d2cd57e45,biosphere3,Acrylonitrile,emission,kilogram,air,,,
2c5362e9-ff22-46b4-9dad-3c765df0ac3f,biosphere3,Acrylonitrile,emission,kilogram,water,,,
d3805249-4c8b-48fb-8843-a7765b8d1322,biosphere3,"Actinides, radioactive, unspecified",emission,kilo Becquerel,air,,,
928873e6-c391-447e-b503-fbeae3211df1,biosphere3,"Actinides, radioactive, unspecified",emission,kilo Becquerel,water,,,
cec0687d-7d44-4e80-ae2f-428c2664d66d,biosphere3,"Aerosols, radioactive, unspecified",emission,kilo Becquerel,air,,,
06f0a67c-ec68-435d-8c32-0decd79a4a1a,biosphere3,"Aldehydes, unspecified",emission,kilogram,air,,,
921ddc9c-6898-4ad0-a00d-7c9add941c85,biosphere3,Allyl chloride,emission,kilogram,water,,,
7880e65c-0321-4295-ba55-3186ad36e489,biosphere3,Aluminium,emission,kilogram,water,,,
ff65658c-2d39-44a2-b23e-7ec3c644f064,biosphere3,Aluminium,emission,kilogram,air,,,
e0401210-0377-4670-84af-12247ca20bed,biosphere3,Aluminium,emission,kilogram,soil,,,
7b192eb2-644e-544a-9299-4a79cb4dd479,biosphere3,Aluminium hydroxide,emission,kilogram,water,,,
a0e98cdc-79cd-4073-9713-c1a48238883a,biosphere3,Americium-241,emission,kilo Becquerel,air,,,
bd601c88-f05e-436a-b4ab-5b3d4fb29882,biosphere3,Americium-241,emission,kilo Becquerel,water,,,
b157329c-4179-5491-97c4-649900954ffa,biosphere3,Amine oxide,emission,kilogram,air,,,
87883a4e-1e3e-4c9d-90c0-f1bea36f8014,biosphere3,Ammonia,emission,kilogram,air,NH3,tonnes,air
c36f35d1-e815-4c85-8686-1a2d21264a2c,biosphere3,Ammonium carbonate,emission,kilogram,air,,,
fb005c47-7b90-41f3-a5ca-f0eb11db354a,biosphere3,"Ammonium, ion",emission,kilogram,water,,,
ffcd4d88-aeb9-491c-ae8c-98838ed38b4d,biosphere3,Aniline,emission,kilogram,air,,,
09f735ea-0a87-4e19-a660-d044db3a7118,biosphere3,Aniline,emission,kilogram,water,,,
fc840c3f-dbcd-4175-9bc2-7fba64501e39,biosphere3,Anthracene,emission,kilogram,air,,,
d30c7d00-977b-44f7-bab1-eb11c2a5c589,biosphere3,Anthracene,emission,kilogram,water,,,
9495989d-ca0f-4c30-a301-9aa8ae006676,biosphere3,Anthranilic acid,emission,kilogram,air,,,
c49fb4cd-eed0-4438-9052-9612473cdbae,biosphere3,Antimony,emission,kilogram,soil,,,
b2dc8668-86de-4207-b20e-dc81dea63c98,biosphere3,Antimony,emission,kilogram,water,,,
77927dac-dea3-429d-a434-d5a71d92c4f7,biosphere3,Antimony,emission,kilogram,air,,,
84e56689-d3d4-4f9b-831d-e4e83046ce2c,biosphere3,Antimony-122,emission,kilo Becquerel,water,,,
8cd82962-d90f-409a-b3c1-961d5365d338,biosphere3,Antimony-124,emission,kilo Becquerel,air,,,
64f81516-52e1-4ce6-a22c-84d3f7cc9a53,biosphere3,Antimony-124,emission,kilo Becquerel,water,,,
fa194dc5-ad5d-4c1e-a8f4-9fedba38fe8d,biosphere3,Antimony-125,emission,kilo Becquerel,water,,,
9314fbdb-a2c7-466b-bb6c-61c89f09df51,biosphere3,Antimony-125,emission,kilo Becquerel,air,,,
a4f6341b-1762-4222-9024-bfd91f63588f,biosphere3,"AOX, Adsorbable Organic Halogen as Cl",emission,kilogram,water,,,
38321e66-f6ab-4908-b26f-c17267559bc5,biosphere3,Argon-40,emission,kilogram,air,,,
e7edd471-6c72-42b0-8c2b-8dc9f1959c63,biosphere3,Argon-41,emission,kilo Becquerel,air,,,
fc84887d-158e-4067-80dc-9743165bd70d,biosphere3,Arsenic,emission,kilogram,soil,,,
dc6dbdaa-9f13-43a8-8af5-6603688c6ad0,biosphere3,Arsenic,emission,kilogram,air,As,tonnes,air
e1bd008f-c3c2-47f1-ab60-35e1a842acc0,biosphere3,"Arsenic, ion",emission,kilogram,water,,,
